reference_number,title,short_description,category,procurement_method,submission_deadline,procuring_entity,status,currency,bid_fee,publish_date,contact_person,contact_position,detail_url,bid_attachments,margin_of_preference,competition_level,requires_registration,requires_trading_license,requires_tax_clearance,requires_nssf_clearance,requires_manufacturer_auth,current_stage,evaluation_methodology,submission_method,submission_format,award_information,required_documents,required_forms,estimated_value_min,estimated_value_max,bid_security_amount,bid_security_type,pre_bid_meeting_date,site_visit_date,bid_opening_date
MoWE/SUPLS/2025-2026/00014,Procurement of framework contract for supply of construction materials for construction of water for production facilities in central Region,Procurement of framework contract for supply of construction materials for construction of water for production facilities in central Region,construction,Open Domestic Bidding,2025-09-26,Ministry of Water & Environment,Open,UGX,100000.0,2025-09-05,UNKNOWN,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/292529475/details,"['https://pde.egpuganda.go.ug/storage/solicitation/attachment//zTh3CSywpIhMVnMr0rDIVfCmUw3CZBqJ5F9WNkEu.pdf', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//Q79eoggydVtlImM9pC2GMUIinBo3pwsuuUe1c4Zu.pdf', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//zWjP4mohPUd1BLTZbK5AK1cjgZxZJN16f7ro50s2.doc', 'https://pde.egpuganda.go.ug/storage/solicitation/attachment//k7oTLvWsDAiLdZzESM78T8Fnios24bSZtzj6lRfc.xlsx']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,5000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
URSB/NCONS/2025-2026/00100,Data Centre Support and Maintenance,Data Centre Support and Maintenance,services,Open Domestic Bidding,2025-09-23,Uganda Registration Services Bureau,Open,UGX,100000.0,2025-09-03,MERCY K KAINOBWISHO,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/290698875/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//o6kXuqjLsX3I7gqTk4eoEoj9AoOlqFyPxXRNjUgd.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,33254000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
UNBS/NCONS/2025-2026/00021,provision of Hotel and conference services for stakeholders and any other engagements,provision of Hotel and conference services for stakeholders and any other engagements,services,Open Domestic Bidding,2025-09-23,Uganda National Bureau of Standards,Open,UGX,0.0,2025-09-02,JAMES KASIGWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291634425/details,"['https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6792/8CXxYehvuqy46sir6jfHax4M1TsT0HBXjo98LDnb.docx', 'https://pde.egpuganda.go.ug/storage/bids/clarification_requests/provider_rfc/6793/XoInsKKXEyFgpfE9cjTSKCyPq8V8LgS3RtNpkyI0.docx']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00166,Marketing and distribution - Offloading fees,Marketing and distribution - Offloading fees,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,50000.0,2025-09-02,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/292057650/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//BivNWzGE72qcKM9Q1czyKQ98YgBAcjGGD6aOYCJ1.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00134,Marketing and distribution - loading and offloading,Marketing and distribution - loading and offloading,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,0.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291798450/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//CVToHLwS4It5Ot5icbSvqANnWEINpdy6duUmrtNR.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00135,Marketing and distribution - Kammengo Daily Market,Marketing and distribution - Kammengo Daily Market,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,0.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291796425/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//pkYQUxNOqqW2DHgqn8qmcgZcTuB9heoT04onNr4w.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00136,Marketing and distribution - Kammengo Mubuulo Market,Marketing and distribution - Kammengo Mubuulo Market,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,50000.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291794400/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//QU8XQ8JUiFg2yfWNguBfFb4mg8jWWE8ngAQYVBcB.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00137,Marketing and distribution - Nsumba sand/stone/bricksroad toll,Marketing and distribution - Nsumba sand/stone/bricksroad toll,construction,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,50000.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291792375/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//Gfh6MFOS4T9tK0XQpqgqkLV0pblegPVPcGjQyKAj.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00133,Marketing and distribution - BILLBOARD AND ADVERTISMENTS,Marketing and distribution - BILLBOARD AND ADVERTISMENTS,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,0.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291790350/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//LipdirJLgKvmUWT9viRGZdWM9BOcNtfkVhn6qENE.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00138,Marketing and distribution - Buvumbo Landing site,Marketing and distribution - Buvumbo Landing site,it,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,50000.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291788325/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//2RRpYSxuDPPIOHeNHLSP6zrsh7ldu7RUYv58m83E.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00139,Marketing and distribution - brick laying,Marketing and distribution - brick laying,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,0.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291786300/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//kLxEfKm1HFeXtP8nkcgjMcxWkDZQR3QP7BZHGqvN.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00132,Marketing and distribution - market,Marketing and distribution - market,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,0.0,2025-08-29,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291784275/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//YT1oqMaa6qAPNnHT3Z2ckqfsZCeSlMUt67Q0NwSy.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MPIGI-LG/NCONS/2025-2026/00131,Marketing and distribution - Loading and off loading,Marketing and distribution - Loading and off loading,other,Open Domestic Bidding,2025-09-05,Mpigi District Local Government,Closed,UGX,50000.0,2025-09-02,EDITH NAMAYEGA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/291782250/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//PYlkSUCgGpXRBESRQOejxxxdNXwVUDzjgxV3p84Z.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
