reference_number,title,short_description,category,procurement_method,submission_deadline,procuring_entity,status,currency,bid_fee,publish_date,contact_person,contact_position,detail_url,bid_attachments,margin_of_preference,competition_level,requires_registration,requires_trading_license,requires_tax_clearance,requires_nssf_clearance,requires_manufacturer_auth,current_stage,evaluation_methodology,submission_method,submission_format,award_information,required_documents,required_forms,estimated_value_min,estimated_value_max,bid_security_amount,bid_security_type,pre_bid_meeting_date,site_visit_date,bid_opening_date
MOFPED/NCONS/2025-2026/00109,ELECTRONIC CASH SOLUTION,ELECTRONIC CASH SOLUTION,other,Open Domestic Bidding,2025-10-16,"Ministry of Finance, Planning & Economic Development",Open,UGX,100000.0,2025-10-02,EDWARD SENGONZI,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/296881200/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//jPaEZiIo2Bte6fllnCtUcUZQUA74ThBwqe9VTgAw.pdf'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
UNBS/NCONS/2025-2026/00024,RADIO MEDIA BUYING,RADIO MEDIA BUYING,other,Open Domestic Bidding,2025-10-21,Uganda National Bureau of Standards,Open,UGX,0.0,2025-09-30,JAMES KASIGWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/301720950/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//wZVp6Vs3pglrD7uuJkMXXPPmvfOGBZ34NBfHJAG5.pdf'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
MOWT/CONS/2025-2026/00001,Consultancy services for the Development and Implementation of Quality Management Systems in the Ministry of Works and Transport newly created Department of Construction Industry Development and Regulation,Consultancy services for the Development and Implementation of Quality Management Systems in the Ministry of Works and Transport newly created Department of Construction Industry Development and Regulation,construction,Open Domestic Bidding,2025-10-17,Ministry of Works and Transport,Open,UGX,0.0,2025-09-30,BAGEYA WAISWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/300246750/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//R1yAxDw1zZwSrynZ7lIppM8Lcma6EhN3h9fAoBTJ.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
UNBS/NCONS/2025-2026/00003,"Software Licences (Oracle BI, power BI, ) - Procurement of Enterprise Productivity and Collaboration Suite to Enhance Institutional Efficiency, Communication, and Digital Service Delivery","Software Licences (Oracle BI, power BI, ) - Procurement of Enterprise Productivity and Collaboration Suite to Enhance Institutional Efficiency, Communication, and Digital Service Delivery",supplies,Open Domestic Bidding,2025-10-10,Uganda National Bureau of Standards,Open,UGX,0.0,2025-09-26,JAMES KASIGWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/301479975/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//bKWBzxKiSjUQvUp91wVWZTKfiUpBSUtC04ALeTJY.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,13250000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
UNBS/NCONS/2025-2026/00049,Group Personal Accident Insurance on Framework Contract,Group Personal Accident Insurance on Framework Contract,other,Open Domestic Bidding,2025-10-23,Uganda National Bureau of Standards,Open,UGX,0.0,2025-09-30,JAMES KASIGWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/301652100/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//NfbAHOOCraXTIp1tF5gYkxv481QIo1SFCMntTVvb.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,7500000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
MoWE/SUPLS/2025-2026/00071,"Supply of cleaning equipment, materials, toiletries, office consumables and groceries- Frame work Contract","Supply of cleaning equipment, materials, toiletries, office consumables and groceries- Frame work Contract",supplies,Open Domestic Bidding,2025-10-22,Ministry of Water & Environment,Open,UGX,0.0,2025-09-29,UNKNOWN,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/298653075/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//CimFpTB1CRelj1TCatTShMYlQqivYDSGOowM4USH.doc'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
UNBS/SUPLS/2025-2026/00015,Assorted culture media and supplements - New framework contract,Assorted culture media and supplements - New framework contract,other,Open Domestic Bidding,2025-10-21,Uganda National Bureau of Standards,Open,UGX,0.0,2025-09-29,JAMES KASIGWA,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/298748250/details,"['https://pde.egpuganda.go.ug/storage/solicitation/attachment//W5Bh4K34wkDf7vRjffGSCuqVKiBSqwq9NIvwOeoZ.pdf', 'https://egpuganda.go.ug/storage/RqpYKgsbUYXVG2WiGX2kJFIaaG2m19HLWc6BI0ZX.pdf']",False,medium,False,False,False,False,False,Published,,,,,[],[],,,0.0,,,,
KCCA/SUPLS/2025-2026/00223,"Consumer electronics, communication equipment, computers, computer software and consumables and optical products - ICT - Management Information Systems","Consumer electronics, communication equipment, computers, computer software and consumables and optical products - ICT - Management Information Systems",supplies,Open Domestic Bidding,2025-10-24,Kampala Capital City Authority,Open,UGX,200000.0,2025-09-26,UNKNOWN,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/299819475/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//rxrkBle9LEQrU3f8BRMTfHPoonefVlFAgvYN5vCN.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,10000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
UCAA/NCONS/2025-2026/00099,Initiating the Airport Advertising Concession at EIA on EGP,Initiating the Airport Advertising Concession at EIA on EGP,it,Open International Bidding Method,2025-10-24,Uganda Civil Aviation Authority,Open,UGX,200000.0,2025-09-25,FRED BAMWESIGYE,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/299436750/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//wWWbJPSyVLGV5IHt9l1YwSgk52bAE5aIfQOP4O20.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,2000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
KCCA/SUPLS/2025-2026/00163,FRAMEWORK CONTRACT FOR THE SUPPLY OF BLACK SOIL AND DRY ORGANIC MANURE FOR LANDSCAPING WORKS,FRAMEWORK CONTRACT FOR THE SUPPLY OF BLACK SOIL AND DRY ORGANIC MANURE FOR LANDSCAPING WORKS,supplies,Open Domestic Bidding,2025-10-15,Kampala Capital City Authority,Open,UGX,200000.0,2025-09-25,UNKNOWN,ACCOUNTING OFFICER,https://egpuganda.go.ug/bid/notice/300469500/details,['https://pde.egpuganda.go.ug/storage/solicitation/attachment//6sWf57TXdrTMrsJv5TvgcQ0MJTWXxLAIEMQcs9uc.docx'],False,medium,False,False,False,False,False,Published,,,,,[],[],,,5000000.0,Bank Guarantee or Letter of Credit or cashiers check or bank draft,,,
